year,id,wrkstat,wrkslf,wrkgvt,marital,sibs,childs,age,educ,degree,sex,race,polviews,partyid,mobile16,born,income06,rincom06,region,size,vote08_coded,pres08,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,relig,fund,attend,reliten,postlife,pray,bible,affrmact,wrkwayup,closeblk,closewht,happy,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,owngun,news,tvhours,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,helppoor,helpnot,helpsick,helpblk,intintl,intfarm,inteduc,intsci,intecon,inttech,intmed,intspace,intenvir,intmil,hispanic,uscitzn,ethnic,fucitzn,vetyears,wordsum,hhtype1,dateintv,cohort,zodiac,inthisp,intrace1,intrace2,intrace3,feeused,feelevel,lngthinv,intage,intethn,mode,intsex,intyrs,wtss,social_trust,con_govt,social_connect,abortion,abortion_3,authoritarianism,femrole,reborn_r,savesoul_r,god_r,science_quiz,educ_4,educ_2,kids,age_5,evangelical,intethn_2,closeblk2,closewht2,obey2,fund2,attend3,homosex2,reliten2,affrmact2,racial_liberal3,social_cons3,spend3,mslm_lib,mslm_spk,mslm_col,rincom06_5,egalit_scale,race_2,white_traits,black_traits,int_info_scale,femrole2,tolerance,militarist_tol,egalit_scale3,black,voted08,partyid_3,hispanic_2,wtssall,attend7,egalit_scale4,tolerance4,spanking2,age_3,tvhours5,attend2,pornlaw2,south,divlaw2,age.f,mslm_spk.high,mslm_spk.yes,grass.legal,age2,relig2,dem,science_quiz.f
2012,371,NA,SOMEONE ELSE,PRIVATE,Divorced,6,4,60,3 years,HS,Female,White,Liberal,IndDem,"SAME ST, DIF CITY",YES,$10000 TO 12499,NA,NEW ENGLAND,29,Did not vote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,Too little,About right,Too little,Too little,About right,Too little,NA,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,FIRED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed",Not allowed,Not remove,NA,FAVOR,TOO HARSH,NA,CATHOLIC,MODERATE,Never,STRONG,YES,NEVER,INSPIRED WORD,STRONGLY OPPOSE PREF,AGREE STRONGLY,5,5,PRETTY HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARD WORK,YES,YES,YES,YES,YES,YES,YES,STAY SAME,NOT WRONG AT ALL,ALWAYS WRONG,ALWAYS WRONG,NOT WRONG AT ALL,NA,STRONGLY DISAGREE,NO,EVERYDAY,2,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NO,NO,YES,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,NA,NA,NONE,7,SINGLE ADULT,720,1952,ARIES,NOT HISPANIC,White,NA,NA,"YES, MONEY",75,112,58,WHITE,IN-PERSON,FEMALE,7,0.8739876210002,NA,NA,5,7,6-7,NA,8,No,No,Yes,NA,Some Coll,13+ yrs,Yes,51-60,Low,White,Less close,Less close,NA,No,Low,No,Strong,Oppose,Conserv,Liberal,Mod,Yes,Yes,No,NA,NA,White,0,0,NA,NonTrad,12,Middle,NA,No,Did not vote,Ind,No,0.8739876210002,Never/<1yr,NA,MedHigh,Disapprove,41-60,2,Low,NA,Nonsouth,Same/easier,60,1,100,NA,>=31,Catholic,0,NA
2012,372,RETIRED,SOMEONE ELSE,GOVERNMENT,Married,2,2,65,4 years,Bachelor deg,Female,White,SlghtLib,Ind,DIFFERENT STATE,YES,$90000 TO $109999,NA,NEW ENGLAND,6,Voted,Obama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little,About right,About right,About right,Too much,About right,Too little,NA,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,OPPOSE,FAVOR,ABOUT RIGHT,NA,PROTESTANT,LIBERAL,Never,NOT VERY STRONG,NA,NEVER,NA,STRONGLY OPPOSE PREF,AGREE STRONGLY,5,5,PRETTY HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOTH EQUALLY,YES,YES,YES,YES,YES,YES,YES,MORE DIFFICULT,NOT WRONG AT ALL,ALWAYS WRONG,ALWAYS WRONG,NOT WRONG AT ALL,NA,STRONGLY DISAGREE,NO,EVERYDAY,3,AGREE,DISAGREE,STRONGLY DISAGREE,NO,NO,YES,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,FINLAND,NA,NONE,7,"MARRIED COUPLE, NO CHILDREN",609,1947,SAGITTARIUS,NOT HISPANIC,White,NA,NA,"YES, MONEY",50,200,58,WHITE,IN-PERSON,FEMALE,7,1.7479752420003,NA,NA,5,7,6-7,NA,7,No,No,No,NA,Coll+,13+ yrs,Yes,60-,Low,White,Less close,Less close,NA,No,Low,No,Not strong,Oppose,Conserv,Liberal,Conserv,Yes,Yes,Yes,NA,NA,White,0,0,NA,NonTrad,14,High,NA,No,Voted,Ind,No,1.7479752420003,Never/<1yr,NA,MedHigh,Disapprove,61+,3,Low,NA,Nonsouth,More difficult,65,1,100,NA,>=31,Protestant,0,NA
2012,373,RETIRED,SOMEONE ELSE,GOVERNMENT,Married,9,4,85,9th grade,HS,Male,White,NA,StrRep,SAME CITY,YES,$50000 TO 59999,NA,NEW ENGLAND,6,Voted,McCain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,About right,NA,About right,About right,About right,About right,4,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,NOT ALLOWED,FIRED,REMOVE,NOT ALLOWED,NOT ALLOWED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,Not allowed,Not allowed,Remove,NA,FAVOR,ABOUT RIGHT,NOT LEGAL,PROTESTANT,FUNDAMENTALIST,Every wk,STRONG,YES,SEVERAL TIMES A DAY,WORD OF GOD,NA,NA,5,5,VERY HAPPY,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,ONLY SOME,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,HARDLY ANY,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,4TH IMPORTANT,3RD IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,NEITHER BELONGS,HARD WORK,YES,NO,YES,NO,NO,NO,NO,NA,NA,NA,ALWAYS WRONG,ALWAYS WRONG,ILLEGAL TO ALL,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,Govt,1,Agree both,3,Moderately interested,Very interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,NOT HISPANIC,NA,ENGLAND & WALES,NA,MORE THAN 4 YRS,NA,"MARRIED COUPLE, NO CHILDREN",410,1927,PISCES,NOT HISPANIC,White,NA,NA,NO,NA,173,61,WHITE,IN-PERSON,FEMALE,0,0.8237962599014,1,4,NA,2,0-2,4,NA,Yes,Yes,Yes,NA,<HS,0-12 yrs,Yes,60-,High,White,Less close,Less close,Less important,Yes,High,Yes,Strong,NA,Conserv,Conserv,Conserv,No,No,No,NA,30,White,NA,NA,14,NA,4,Low,More egal,No,Voted,Rep,No,0.8237962599014,Ev wk or more,High,Low,NA,61+,NA,High,Illegal to all,Nonsouth,NA,85,0,0,0,>=31,Protestant,0,NA
2012,374,WORKING FULL TIME,SELF-EMPLOYED,PRIVATE,Never married,0,2,42,12th grade,HS,Male,White,ExtrmLib,StrRep,SAME CITY,YES,$75000 TO $89999,$20000 TO 22499,NEW ENGLAND,6,Voted,McCain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little,Too little,Too much,Too little,About right,Too much,Too little,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAVOR,NA,ABOUT RIGHT,NOT LEGAL,CATHOLIC,MODERATE,Never,NOT VERY STRONG,NA,NEVER,WORD OF GOD,STRONGLY OPPOSE PREF,AGREE STRONGLY,NA,NA,PRETTY HAPPY,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,HARDLY ANY,HARDLY ANY,HARDLY ANY,ONLY SOME,HARDLY ANY,HARDLY ANY,HARDLY ANY,HARDLY ANY,A GREAT DEAL,MOST IMPORTANT,LEAST IMPORTANT,2ND IMPORTANT,4TH IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,NA,NA,NA,NA,NA,NA,NA,NA,MORE DIFFICULT,NOT WRONG AT ALL,SOMETIMES WRONG,NA,NA,ILLEGAL UNDER 18,AGREE,NA,NEVER,1,AGREE,AGREE,STRONGLY AGREE,NO,NO,NO,YES,Govt,1,Govt,3,Not at all interested,Very interested,Moderately interested,Not at all interested,Very interested,Not at all interested,Moderately interested,Not at all interested,Not at all interested,Very interested,NOT HISPANIC,NA,OTHER CANADA,NA,NONE,5,COHAB COUPLE W CHILDREN,412,1970,CAPRICORN,NOT HISPANIC,White,NA,NA,"YES, MONEY",20,108,61,WHITE,IN-PERSON,FEMALE,0,0.8237962599014,0,1,5,NA,NA,4,3,No,No,Yes,7,HS,0-12 yrs,Yes,41-50,Low,White,NA,NA,More important,No,Low,NA,Not strong,Oppose,Conserv,Mod,Conserv,NA,NA,NA,MedLow,32,White,6,-4,8,Traditional,NA,NA,More egal,No,Voted,Rep,No,0.8237962599014,Never/<1yr,High,NA,Approve,41-60,0-1,Low,Not illegal to all,Nonsouth,More difficult,42,NA,NA,0,>=31,Catholic,0,7
2012,375,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Never married,1,0,27,2 years,HS,Female,White,Liberal,Ind,SAME CITY,YES,$150000 OR OVER,$12500 TO 14999,NEW ENGLAND,40,Did not vote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,Too little,About right,About right,Too little,About right,Too little,NA,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,NOT ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,Not allowed,Not remove,OPPOSE,OPPOSE,NOT HARSH ENOUGH,NA,CATHOLIC,MODERATE,Once/yr,STRONG,YES,SEVERAL TIMES A WEEK,INSPIRED WORD,STRONGLY SUPPORT PREF,AGREE STRONGLY,9,9,VERY HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOTH EQUALLY,YES,YES,YES,YES,YES,YES,YES,STAY SAME,NOT WRONG AT ALL,ALWAYS WRONG,ALWAYS WRONG,NOT WRONG AT ALL,NA,STRONGLY DISAGREE,YES,LESS THAN ONCE WK,2,AGREE,STRONGLY DISAGREE,DISAGREE,NO,YES,YES,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,ITALY,NA,NONE,5,"MARRIED COUPLE, NO CHILDREN",525,1985,VIRGO,NOT HISPANIC,White,NA,NA,"YES, MONEY",50,97,51,WHITE,IN-PERSON,FEMALE,2,1.235694389852,NA,NA,4,7,6-7,NA,7,No,No,Yes,NA,Some Coll,13+ yrs,No,18-30,Low,White,More close,More close,NA,No,Low,No,Strong,Support,Mod,Liberal,Mod,Yes,No,No,MedLow,NA,White,0,0,NA,NonTrad,13,High,NA,No,Did not vote,Ind,No,1.235694389852,Once/yr,NA,MedHigh,Disapprove,18-40,2,Low,NA,Nonsouth,Same/easier,27,0,0,NA,<=30,Catholic,0,NA
2012,376,RETIRED,SOMEONE ELSE,PRIVATE,Widowed,6,7,85,12th grade,HS,Female,White,Liberal,Ind,SAME CITY,YES,NA,NA,NEW ENGLAND,40,Voted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,About right,About right,About right,About right,About right,About right,7,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,NA,NA,ALLOWED,ALLOWED,REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,Not allowed,Not allowed,Remove,OPPOSE,FAVOR,ABOUT RIGHT,NOT LEGAL,PROTESTANT,LIBERAL,Every wk,NOT VERY STRONG,YES,ONCE A DAY,WORD OF GOD,NA,NA,NA,NA,PRETTY HAPPY,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,3RD IMPORTANT,LEAST IMPORTANT,2ND IMPORTANT,4TH IMPORTANT,MOST IMPORTANT,NEITHER BELONGS,HARD WORK,YES,YES,YES,YES,YES,YES,YES,NA,NA,NA,ALMST ALWAYS WRG,ALWAYS WRONG,ILLEGAL UNDER 18,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Help selves,3,2,NA,Not at all interested,Moderately interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,NOT HISPANIC,NA,FINLAND,NA,NONE,NA,SINGLE ADULT,404,1927,GEMINI,NOT HISPANIC,White,NA,NA,NO,NA,135,58,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,3,4,NA,7,6-7,3,NA,No,No,Yes,NA,HS,0-12 yrs,Yes,60-,Low,White,NA,NA,Less important,No,High,Yes,Not strong,NA,Conserv,Mod,Conserv,No,No,No,NA,1,White,NA,NA,14,NA,NA,Middle,Less egal,No,Voted,Ind,No,0.4118981299507,Ev wk or more,Low,NA,NA,61+,NA,High,Not illegal to all,Nonsouth,NA,85,0,0,0,>=31,Protestant,0,NA
2012,377,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Married,7,2,63,2 years,HS,Female,White,Liberal,StrDem,"SAME ST, DIF CITY",YES,$90000 TO $109999,$50000 TO 59999,PACIFIC,32,Voted,Obama,NA,Too little,Too little,NA,Too little,Too little,Too little,About right,Too much,Too much,NA,NA,About right,Too little,About right,NA,NA,Too little,NA,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,FAVOR,FAVOR,NOT HARSH ENOUGH,NA,CATHOLIC,MODERATE,Once/yr,NOT VERY STRONG,YES,SEVERAL TIMES A WEEK,INSPIRED WORD,STRONGLY OPPOSE PREF,AGREE SOMEWHAT,5,7,PRETTY HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HARD WORK,YES,YES,YES,YES,YES,YES,YES,EASIER,NOT WRONG AT ALL,ALMST ALWAYS WRG,ALMST ALWAYS WRG,NOT WRONG AT ALL,NA,DISAGREE,NO,LESS THAN ONCE WK,4,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,ITALY,NA,NONE,10,"MARRIED COUPLE, NO CHILDREN",526,1949,LIBRA,NOT HISPANIC,White,NA,NA,"YES, MONEY",50,120,51,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,NA,NA,4,7,6-7,NA,9,No,No,Yes,NA,Some Coll,13+ yrs,Yes,60-,Low,White,Less close,More close,NA,No,Low,No,Not strong,Oppose,Conserv,Liberal,Liberal,Yes,Yes,Yes,MedHigh,NA,White,0,0,NA,NonTrad,14,High,NA,No,Voted,Dem,No,0.8237962599014,Once/yr,NA,MedHigh,Disapprove,61+,4,Low,NA,Nonsouth,Same/easier,63,1,100,NA,>=31,Catholic,1,NA
2012,378,WORKING PART TIME,SELF-EMPLOYED,PRIVATE,Married,4,2,61,3 years,Bachelor deg,Female,White,Liberal,WkDem,DIFFERENT STATE,NO,$90000 TO $109999,$1 000 TO 2 999,PACIFIC,32,Voted,Obama,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,2,ALLOWED,ALLOWED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,Not allowed,Not allowed,Remove,OPPOSE,FAVOR,TOO HARSH,LEGAL,NONE,LIBERAL,Never,NO RELIGION,NO,LT ONCE A WEEK,BOOK OF FABLES,NA,NA,7,1,PRETTY HAPPY,HARDLY ANY,HARDLY ANY,HARDLY ANY,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,HARDLY ANY,HARDLY ANY,LEAST IMPORTANT,4TH IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,HARD WORK,YES,YES,YES,YES,YES,YES,YES,NA,NA,NA,ALMST ALWAYS WRG,NOT WRONG AT ALL,ILLEGAL TO ALL,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Govt,2,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,NOT HISPANIC,A U.S. Citizen,IRELAND,NA,NONE,NA,MARRIED COUPLE W CHILDREN,709,1951,ARIES,NOT HISPANIC,White,NA,NA,"YES, MONEY",50,122,48,WHITE,IN-PERSON,FEMALE,0,1.7479752420003,3,2,NA,7,6-7,0,NA,No,No,No,NA,Some Coll,13+ yrs,Yes,60-,Low,White,More close,Less close,Less important,No,Low,No,Not strong,NA,Mod,Liberal,Liberal,No,No,No,Low,31,White,NA,NA,20,NA,10,Middle,More egal,No,Voted,Dem,No,1.7479752420003,Never/<1yr,High,MedLow,NA,61+,NA,Low,Illegal to all,Nonsouth,NA,61,0,0,100,>=31,NA,1,NA
2012,379,WORKING PART TIME,SOMEONE ELSE,PRIVATE,Married,2,0,27,8 years,Graduate deg,Female,Other,Moderate,Ind,DIFFERENT STATE,NO,$130000 TO $149999,$60000 TO 74999,PACIFIC,32,Did not vote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too much,About right,Too little,Too much,Too little,Too much,Too little,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OPPOSE,NA,ABOUT RIGHT,NOT LEGAL,NONE,LIBERAL,<Once/yr,NO RELIGION,NO,LT ONCE A WEEK,INSPIRED WORD,SUPPORT PREF,AGREE SOMEWHAT,NA,NA,PRETTY HAPPY,ONLY SOME,A GREAT DEAL,NA,A GREAT DEAL,ONLY SOME,A GREAT DEAL,A GREAT DEAL,ONLY SOME,A GREAT DEAL,A GREAT DEAL,A GREAT DEAL,ONLY SOME,A GREAT DEAL,2ND IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,NA,NA,NA,NA,NA,NA,NA,NA,STAY SAME,NOT WRONG AT ALL,SOMETIMES WRONG,NA,NA,ILLEGAL UNDER 18,AGREE,NA,NEVER,1,AGREE,DISAGREE,DISAGREE,NO,YES,YES,YES,Agree both,2,4,3,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,NOT HISPANIC,Not a U.S. Citizen,INDIA,Not planning to apply to U.S. citizenship,NONE,6,"MARRIED COUPLE, NO CHILDREN",808,1985,GEMINI,NOT HISPANIC,White,NA,NA,"YES, MONEY",75,136,48,WHITE,IN-PERSON,FEMALE,0,1.7479752420003,3,4,6,NA,NA,4,6,No,No,No,NA,Coll+,13+ yrs,No,18-30,Low,White,NA,NA,More important,No,Low,NA,Not strong,Support,Mod,Liberal,Conserv,NA,NA,NA,MedHigh,14,NA,0,-1,14,NonTrad,NA,NA,Less egal,NA,Did not vote,Ind,No,1.7479752420003,Never/<1yr,MedLow,NA,Approve,18-40,0-1,Low,Not illegal to all,Nonsouth,Same/easier,27,NA,NA,0,<=30,NA,0,NA
2012,380,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Never married,4,0,48,4 years,Bachelor deg,Male,White,SlghtLib,IndDem,DIFFERENT STATE,YES,$130000 TO $149999,$130000 TO $149999,PACIFIC,32,Voted,Obama,About right,Too little,Too little,About right,Too little,NA,NA,About right,About right,About right,Too little,Too little,About right,Too little,Too little,NA,Too little,Too little,NA,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,OPPOSE,FAVOR,ABOUT RIGHT,NA,NONE,LIBERAL,Never,NO RELIGION,NO,NEVER,BOOK OF FABLES,SUPPORT PREF,DISAGREE SOMEWHAT,5,5,NOT TOO HAPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOTH EQUALLY,YES,YES,YES,YES,YES,YES,YES,NA,NA,ALMST ALWAYS WRG,ALMST ALWAYS WRG,NOT WRONG AT ALL,NA,AGREE,NO,FEW TIMES A WEEK,2,AGREE,DISAGREE,STRONGLY DISAGREE,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,NA,NA,NONE,10,SINGLE ADULT,421,1964,LIBRA,NOT HISPANIC,White,NA,NA,NO,NA,147,51,WHITE,IN-PERSON,FEMALE,2,0.4118981299507,NA,NA,3,7,6-7,NA,7,No,No,No,NA,Coll+,13+ yrs,No,41-50,Low,White,Less close,Less close,NA,No,Low,No,Not strong,Support,Mod,Liberal,Liberal,Yes,Yes,Yes,High,NA,White,0,0,NA,NonTrad,14,High,NA,No,Voted,Ind,No,0.4118981299507,Never/<1yr,NA,MedHigh,Approve,41-60,2,Low,NA,Nonsouth,NA,48,1,100,NA,>=31,NA,0,NA
2012,381,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Never married,0,0,25,4 years,Bachelor deg,Male,Other,Moderate,WkDem,SAME CITY,YES,$110000 TO $129999,$50000 TO 59999,PACIFIC,805,Voted,NA,About right,Too little,Too little,Too little,Too little,About right,Too little,About right,Too much,Too much,Too much,About right,Too little,About right,About right,Too little,About right,Too little,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OPPOSE,NA,NOT HARSH ENOUGH,LEGAL,NONE,LIBERAL,Once/yr,NO RELIGION,YES,ONCE A WEEK,INSPIRED WORD,STRONGLY OPPOSE PREF,AGREE STRONGLY,NA,NA,VERY HAPPY,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,A GREAT DEAL,HARDLY ANY,ONLY SOME,HARDLY ANY,A GREAT DEAL,ONLY SOME,ONLY SOME,HARDLY ANY,LEAST IMPORTANT,4TH IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,NEITHER BELONGS,NA,NA,NA,NA,NA,NA,NA,NA,MORE DIFFICULT,NOT WRONG AT ALL,ALMST ALWAYS WRG,NA,NA,ILLEGAL UNDER 18,DISAGREE,NA,LESS THAN ONCE WK,1,AGREE,DISAGREE,DISAGREE,NO,NO,NO,YES,4,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT HISPANIC,NA,CHINA,NA,NONE,3,"OTHER FAM., NO CHILDREN",523,1987,SAGITTARIUS,NOT HISPANIC,White,NA,NA,"YES, MONEY",50,80,51,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,0,4,8,NA,NA,1,6,No,No,No,NA,Coll+,13+ yrs,No,18-30,Low,White,NA,NA,Less important,No,Low,NA,Not strong,Oppose,Conserv,Liberal,Liberal,NA,NA,NA,MedHigh,8,NA,0,0,NA,NonTrad,NA,NA,Less egal,NA,Voted,Dem,No,0.8237962599014,Once/yr,Low,NA,Disapprove,18-40,0-1,Low,Not illegal to all,Nonsouth,More difficult,25,NA,NA,100,<=30,NA,1,NA
2012,382,TEMP NOT WORKING,SOMEONE ELSE,GOVERNMENT,Married,3,2,34,1 yr coll,HS,Male,Other,SlghtCons,WkRep,DIFFERENT STATE,NO,$150000 OR OVER,$40000 TO 49999,PACIFIC,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,Too little,About right,About right,Too little,Too little,Too little,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAVOR,NA,NOT HARSH ENOUGH,NOT LEGAL,BUDDHISM,NA,Once/yr,NOT VERY STRONG,NO,NEVER,BOOK OF FABLES,OPPOSE PREF,AGREE SOMEWHAT,NA,NA,VERY HAPPY,HARDLY ANY,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,HARDLY ANY,HARDLY ANY,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,HARDLY ANY,ONLY SOME,4TH IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,R BELONGS,NA,NA,NA,NA,NA,NA,NA,NA,EASIER,NOT WRONG AT ALL,ALWAYS WRONG,NA,NA,ILLEGAL UNDER 18,DISAGREE,NA,ONCE A WEEK,2,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE,NO,NO,NO,YES,Agree both,3,2,3,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,NOT HISPANIC,Not a U.S. Citizen,CHINA,Planning to apply for U.S. citizenship,NONE,6,MARRIED COUPLE W CHILDREN,816,1978,TAURUS,NOT HISPANIC,White,NA,NA,"YES, MONEY",75,109,70,WHITE,OVER THE PHONE,FEMALE,6,3.4959504840006,2,2,4,NA,NA,3,8,No,No,No,7,Some Coll,13+ yrs,Yes,31-40,Low,White,NA,NA,Less important,NA,Low,NA,Not strong,Oppose,Conserv,Mod,Mod,NA,NA,NA,MedHigh,22,NA,1,-1,14,NonTrad,NA,NA,Middle,NA,NA,Rep,No,3.4959504840006,Once/yr,MedHigh,NA,Disapprove,18-40,2,Low,Not illegal to all,Nonsouth,Same/easier,34,NA,NA,0,>=31,NA,0,7
