,year,id,wrkstat,wrkslf,wrkgvt,marital,sibs,childs,age,educ,degree,sex,race,polviews,partyid,mobile16,born,income06,rincom06,region,size,vote08_coded,pres08,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,relig,fund,attend,reliten,postlife,pray,bible,affrmact,wrkwayup,closeblk,closewht,happy,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,owngun,news,tvhours,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,helppoor,helpnot,helpsick,helpblk,intintl,intfarm,inteduc,intsci,intecon,inttech,intmed,intspace,intenvir,intmil,hispanic,uscitzn,ethnic,fucitzn,vetyears,wordsum,hhtype1,dateintv,cohort,zodiac,inthisp,intrace1,intrace2,intrace3,feeused,feelevel,lngthinv,intage,intethn,mode,intsex,intyrs,wtss,social_trust,con_govt,social_connect,abortion,abortion_3,authoritarianism,femrole,reborn_r,savesoul_r,god_r,science_quiz,educ_4,educ_2,kids,age_5,evangelical,intethn_2,closeblk2,closewht2,obey2,fund2,attend3,homosex2,reliten2,affrmact2,racial_liberal3,social_cons3,spend3,mslm_lib,mslm_spk,mslm_col,rincom06_5,egalit_scale,race_2,white_traits,black_traits,int_info_scale,femrole2,tolerance,militarist_tol,egalit_scale3,black,voted08,partyid_3,hispanic_2,wtssall,attend7,egalit_scale4,tolerance4,spanking2,age_3,tvhours5,attend2,pornlaw2,south,divlaw2,age.f,mslm_spk.high,mslm_spk.yes,grass.legal,age2,relig2,dem,science_quiz.f
575,2012,576.0,RETIRED,SOMEONE ELSE,PRIVATE,Widowed,7.0,3.0,60.0,10th grade,<HS,Male,Black,Moderate,Ind,DIFFERENT STATE,YES,$12500 TO 14999,,SOUTH ATLANTIC,30,Did not vote,,,,,,,,,,,,,Too little,Too little,Too little,Too little,Too little,Too little,Too little,4.0,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,NOT ALLOWED,ALLOWED,REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,FAVOR,FAVOR,NOT HARSH ENOUGH,LEGAL,CHRISTIAN,MODERATE,>Once/wk,STRONG,YES,SEVERAL TIMES A DAY,WORD OF GOD,,,5.0,5.0,NOT TOO HAPPY,HARDLY ANY,HARDLY ANY,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,HARDLY ANY,HARDLY ANY,HARDLY ANY,HARDLY ANY,HARDLY ANY,HARDLY ANY,HARDLY ANY,4TH IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,BOTH EQUALLY,YES,YES,YES,NO,YES,YES,YES,,,,ALWAYS WRONG,ALWAYS WRONG,ILLEGAL UNDER 18,,NO,,,,,,,,,,Agree both,3.0,Agree both,4.0,Not at all interested,Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Very interested,Moderately interested,NOT HISPANIC,,NON-SPAN WINDIES,,NONE,,SINGLE ADULT,331,1952.0,ARIES,NOT HISPANIC,White,,,NO,,134,69,WHITE,IN-PERSON,FEMALE,0,0.4118981299507,1.0,1.0,,6.0,6-7,1.0,,Yes,Yes,Yes,7.0,<HS,0-12 yrs,Yes,51-60,High,White,Less close,Less close,Less important,No,High,Yes,Strong,,Conserv,Mod,Mod,Yes,Yes,Yes,,18.0,Black,,,14.0,,9.0,Low,Middle,Yes,Did not vote,Ind,No,0.4118981299507,Ev wk or more,MedLow,MedLow,,41-60,,High,Not illegal to all,South,,60.0,1.0,100.0,100.0,>=31,,0.0,7.0
576,2012,577.0,"UNEMPLOYED, LAID OFF",SOMEONE ELSE,PRIVATE,Divorced,3.0,3.0,59.0,12th grade,HS,Male,White,Conserv,IndRep,DIFFERENT STATE,YES,$17500 TO 19999,,SOUTH ATLANTIC,30,Voted,McCain,Too little,Too little,Too little,About right,About right,About right,Too little,Too much,About right,Too much,About right,Too little,Too little,Too little,About right,About right,Too little,Too little,,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,FAVOR,OPPOSE,NOT HARSH ENOUGH,,PROTESTANT,LIBERAL,Sev times/yr,NOT VERY STRONG,YES,ONCE A DAY,WORD OF GOD,STRONGLY OPPOSE PREF,AGREE STRONGLY,3.0,9.0,PRETTY HAPPY,,,,,,,,,,,,,,,,,,,,BOTH EQUALLY,YES,NO,YES,NO,YES,NO,NO,STAY SAME,ALMST ALWAYS WRG,ALWAYS WRONG,ALWAYS WRONG,ALWAYS WRONG,,STRONGLY AGREE,NO,EVERYDAY,8.0,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,NO,,NO,YES,,,,,,,,,,,,,,,NOT HISPANIC,,ENGLAND & WALES,,NONE,8.0,SINGLE ADULT,501,1953.0,AQUARIUS,NOT HISPANIC,White,,,"YES, MONEY",20.0,200,69,WHITE,IN-PERSON,FEMALE,0,0.4118981299507,,,7.0,3.0,3-5,,0.0,Yes,Yes,Yes,,HS,0-12 yrs,Yes,51-60,High,White,Less close,More close,,No,Moderate,Yes,Not strong,Oppose,Conserv,Conserv,Liberal,Yes,Yes,Yes,,,White,4.0,-2.0,,Traditional,14.0,High,,No,Voted,Ind,No,0.4118981299507,Svrl times/yr,,MedHigh,Approve,41-60,5 or more,Low,,South,Same/easier,59.0,1.0,100.0,,>=31,Protestant,0.0,
577,2012,578.0,KEEPING HOUSE,SOMEONE ELSE,PRIVATE,Married,13.0,8.0,59.0,12th grade,HS,Male,Black,Moderate,StrDem,SAME CITY,YES,$1 000 TO 2 999,,SOUTH ATLANTIC,30,Voted,Obama,,,,,,,,,,,,Too little,Too little,Too little,Too little,About right,About right,Too little,1.0,,,,,,,,,,,,,,,,,,,FAVOR,,NOT HARSH ENOUGH,LEGAL,PROTESTANT,MODERATE,2-3 times /mo,STRONG,YES,SEVERAL TIMES A DAY,WORD OF GOD,STRONGLY OPPOSE PREF,AGREE STRONGLY,,,PRETTY HAPPY,HARDLY ANY,ONLY SOME,ONLY SOME,A GREAT DEAL,HARDLY ANY,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,ONLY SOME,A GREAT DEAL,HARDLY ANY,A GREAT DEAL,LEAST IMPORTANT,4TH IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,NEITHER BELONGS,,,,,,,,,EASIER,NOT WRONG AT ALL,NOT WRONG AT ALL,,,ILLEGAL UNDER 18,AGREE,,ONCE A WEEK,6.0,STRONGLY AGREE,DISAGREE,AGREE,YES,NO,YES,YES,Agree both,3.0,Agree both,5.0,Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,NOT HISPANIC,,,,NONE,4.0,"MARRIED COUPLE, NO CHILDREN",330,1953.0,VIRGO,NOT HISPANIC,White,,,NO,,198,69,WHITE,IN-PERSON,FEMALE,0,0.8237962599014,1.0,1.0,1.0,,,0.0,6.0,Yes,Yes,Yes,,HS,0-12 yrs,Yes,51-60,High,White,,,Less important,No,Moderate,,Strong,Oppose,Mod,Liberal,Conserv,,,,,29.0,Black,6.0,0.0,19.0,NonTrad,,,More egal,Yes,Voted,Dem,No,0.8237962599014,2-3 times/mnth,MedHigh,,Approve,41-60,5 or more,High,Not illegal to all,South,Same/easier,59.0,,,100.0,>=31,Protestant,1.0,
578,2012,579.0,RETIRED,SOMEONE ELSE,PRIVATE,Divorced,3.0,1.0,63.0,1 yr coll,HS,Female,White,Moderate,WkDem,"SAME ST, DIF CITY",YES,$10000 TO 12499,,SOUTH ATLANTIC,30,Voted,Obama,,,,,,,,,,,,Too little,About right,About right,About right,Too little,About right,Too little,,ALLOWED,ALLOWED,REMOVE,NOT ALLOWED,ALLOWED,REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,REMOVE,"Yes, allowed","Yes, allowed",Remove,FAVOR,FAVOR,NOT HARSH ENOUGH,,PROTESTANT,MODERATE,Never,STRONG,NO,SEVERAL TIMES A DAY,INSPIRED WORD,STRONGLY OPPOSE PREF,AGREE STRONGLY,5.0,9.0,VERY HAPPY,,,,,,,,,,,,,,,,,,,,HARD WORK,YES,NO,NO,NO,NO,NO,NO,MORE DIFFICULT,NOT WRONG AT ALL,ALWAYS WRONG,ALWAYS WRONG,ALWAYS WRONG,,AGREE,NO,LESS THAN ONCE WK,2.0,STRONGLY AGREE,DISAGREE,DISAGREE,NO,NO,YES,YES,,,,,,,,,,,,,,,NOT HISPANIC,,ENGLAND & WALES,,NONE,7.0,SINGLE ADULT,403,1949.0,SAGITTARIUS,NOT HISPANIC,White,,,NO,,130,69,WHITE,IN-PERSON,FEMALE,0,0.4118981299507,,,3.0,1.0,0-2,,7.0,Yes,Yes,Yes,,Some Coll,13+ yrs,Yes,60-,High,White,Less close,More close,,No,Low,Yes,Strong,Oppose,Conserv,Conserv,Conserv,No,Yes,Yes,,,White,6.0,-4.0,,NonTrad,10.0,High,,No,Voted,Dem,No,0.4118981299507,Never/<1yr,,MedLow,Approve,61+,2,Low,,South,More difficult,63.0,1.0,100.0,,>=31,Protestant,1.0,
579,2012,580.0,RETIRED,SOMEONE ELSE,PRIVATE,Divorced,4.0,4.0,66.0,7th grade,<HS,Female,White,Conserv,WkRep,DIFFERENT STATE,YES,$10000 TO 12499,,SOUTH ATLANTIC,30,Voted,McCain,Too little,About right,About right,Too little,About right,Too little,Too little,About right,Too little,Too much,About right,Too little,About right,Too little,Too little,Too little,Too little,About right,7.0,,,,,,,,,,,,,,,,,,,FAVOR,,NOT HARSH ENOUGH,NOT LEGAL,CATHOLIC,MODERATE,Once/yr,NOT VERY STRONG,YES,SEVERAL TIMES A DAY,INSPIRED WORD,STRONGLY OPPOSE PREF,AGREE STRONGLY,,,VERY HAPPY,HARDLY ANY,HARDLY ANY,ONLY SOME,ONLY SOME,HARDLY ANY,HARDLY ANY,HARDLY ANY,HARDLY ANY,A GREAT DEAL,ONLY SOME,ONLY SOME,HARDLY ANY,A GREAT DEAL,4TH IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,NEITHER BELONGS,,,,,,,,,STAY SAME,SOMETIMES WRONG,ALWAYS WRONG,,,ILLEGAL TO ALL,STRONGLY AGREE,,EVERYDAY,7.0,STRONGLY DISAGREE,AGREE,STRONGLY AGREE,NO,NO,NO,YES,Help selves,5.0,4,5.0,,,,,,,,,,,NOT HISPANIC,,AMERICAN INDIAN,,NONE,5.0,SINGLE ADULT,329,1946.0,CAPRICORN,NOT HISPANIC,White,,,NO,,200,69,WHITE,IN-PERSON,FEMALE,0,0.4118981299507,1.0,1.0,6.0,,,3.0,1.0,No,No,No,,<HS,0-12 yrs,Yes,60-,Low,White,,,Less important,No,Low,,Not strong,Oppose,Conserv,Conserv,Liberal,,,,,1.0,White,4.0,-1.0,,Traditional,,,Less egal,No,Voted,Rep,No,0.4118981299507,Once/yr,Low,,Approve,61+,5 or more,Low,Illegal to all,South,Same/easier,66.0,,,0.0,>=31,Catholic,0.0,
580,2012,581.0,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Married,10.0,3.0,49.0,12th grade,HS,Male,Other,Moderate,StrDem,DIFFERENT STATE,NO,$6 000 TO 6 999,,SOUTH ATLANTIC,30,Did not vote,,Too much,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too much,Too much,Too little,About right,Too little,About right,About right,About right,Too little,Too little,,NOT ALLOWED,ALLOWED,REMOVE,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,REMOVE,Not allowed,Not allowed,Remove,OPPOSE,FAVOR,NOT HARSH ENOUGH,,MOSLEM/ISLAM,,Sev times/yr,STRONG,YES,SEVERAL TIMES A DAY,INSPIRED WORD,STRONGLY OPPOSE PREF,AGREE SOMEWHAT,5.0,5.0,PRETTY HAPPY,,,,,,,,,,,,,,,,,,,,BOTH EQUALLY,NO,NO,YES,NO,NO,NO,NO,MORE DIFFICULT,ALWAYS WRONG,ALWAYS WRONG,ALWAYS WRONG,ALWAYS WRONG,,STRONGLY AGREE,YES,NEVER,1.0,STRONGLY DISAGREE,STRONGLY AGREE,AGREE,YES,NO,YES,YES,,,,,,,,,,,,,,,NOT HISPANIC,Not a U.S. Citizen,OTHER,Currently applying for U.S. citizenship,NONE,6.0,"MARRIED COUPLE, NO CHILDREN",409,1963.0,LIBRA,NOT HISPANIC,White,,,NO,,167,69,WHITE,IN-PERSON,FEMALE,0,1.6475925198027,,,7.0,1.0,0-2,,1.0,No,No,Yes,,HS,0-12 yrs,Yes,41-50,Low,White,Less close,Less close,,,Moderate,Yes,Strong,Oppose,Mod,Mod,Liberal,No,No,No,,,,2.0,0.0,,Traditional,6.0,Low,,,Did not vote,Dem,No,1.6475925198027,Svrl times/yr,,Low,Approve,41-60,0-1,Low,,South,More difficult,49.0,0.0,0.0,,>=31,,1.0,
581,2012,582.0,RETIRED,SOMEONE ELSE,PRIVATE,Never married,1.0,0.0,66.0,5 years,Bachelor deg,Male,White,Moderate,IndDem,"SAME ST, DIF CITY",YES,$150000 OR OVER,,E. NOR. CENTRAL,90,Voted,,,,,,,,,,,,,Too little,Too much,Too little,About right,About right,Too little,Too little,5.0,,,,,,,,,,,,,,,,,,,OPPOSE,,ABOUT RIGHT,LEGAL,NONE,LIBERAL,Never,NO RELIGION,,LT ONCE A WEEK,BOOK OF FABLES,OPPOSE PREF,AGREE SOMEWHAT,,,PRETTY HAPPY,ONLY SOME,A GREAT DEAL,HARDLY ANY,ONLY SOME,A GREAT DEAL,HARDLY ANY,ONLY SOME,A GREAT DEAL,HARDLY ANY,HARDLY ANY,A GREAT DEAL,HARDLY ANY,A GREAT DEAL,2ND IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,3RD IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,,,,,,,,,STAY SAME,NOT WRONG AT ALL,ALWAYS WRONG,,,ILLEGAL UNDER 18,AGREE,,EVERYDAY,4.0,DISAGREE,AGREE,DISAGREE,NO,NO,NO,YES,Agree both,3.0,Govt,4.0,Very interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Very interested,NOT HISPANIC,,RUMANIA,,NONE,8.0,"OTHER FAM., NO CHILDREN",509,1946.0,SCORPIO,NOT HISPANIC,White,,,"YES, MONEY",20.0,99,50,WHITE,IN-PERSON,FEMALE,2,1.235694389852,2.0,2.0,2.0,,,3.0,4.0,No,No,No,10.0,Coll+,13+ yrs,No,60-,Low,White,,,More important,No,Low,,Not strong,Oppose,Conserv,Liberal,Conserv,,,,,14.0,White,1.0,0.0,17.0,Traditional,,,Less egal,No,Voted,Ind,No,1.235694389852,Never/<1yr,MedLow,,Approve,61+,4,Low,Not illegal to all,Nonsouth,Same/easier,66.0,,,100.0,>=31,,0.0,10.0
582,2012,583.0,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Married,5.0,3.0,42.0,7 years,Graduate deg,Male,Other,SlghtCons,WkDem,DIFFERENT STATE,NO,$150000 OR OVER,$60000 TO 74999,E. NOR. CENTRAL,90,Did not vote,,Too much,Too little,About right,Too little,Too little,Too little,Too little,,Too much,Too much,Too little,About right,Too little,Too little,Too little,About right,About right,Too little,5.0,NOT ALLOWED,NOT ALLOWED,REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,REMOVE,Not allowed,Not allowed,Remove,FAVOR,FAVOR,,NOT LEGAL,MOSLEM/ISLAM,,Once/yr,SOMEWHAT STRONG,YES,SEVERAL TIMES A DAY,WORD OF GOD,,,3.0,3.0,PRETTY HAPPY,HARDLY ANY,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,HARDLY ANY,HARDLY ANY,ONLY SOME,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,ONLY SOME,A GREAT DEAL,2ND IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,3RD IMPORTANT,4TH IMPORTANT,NEITHER BELONGS,BOTH EQUALLY,YES,YES,YES,NO,YES,YES,NO,,,,ALWAYS WRONG,ALWAYS WRONG,ILLEGAL UNDER 18,,NO,,,,,,,,,,4,1.0,Agree both,5.0,Not at all interested,Moderately interested,Very interested,Very interested,Very interested,Moderately interested,Not at all interested,Not at all interested,Moderately interested,Not at all interested,NOT HISPANIC,A U.S. Citizen,INDIA,,NONE,,MARRIED COUPLE W CHILDREN,402,1970.0,ARIES,NOT HISPANIC,White,,,"YES, MONEY",20.0,102,50,WHITE,IN-PERSON,FEMALE,2,1.235694389852,1.0,4.0,,5.0,3-5,3.0,,No,No,Yes,,Coll+,13+ yrs,Yes,41-50,Low,White,Less close,Less close,More important,,Low,Yes,Not strong,,Conserv,Conserv,Liberal,No,No,No,MedHigh,8.0,,,,9.0,,8.0,Low,Less egal,,Did not vote,Dem,No,1.235694389852,Once/yr,Low,Low,,41-60,,Low,Not illegal to all,Nonsouth,,42.0,0.0,0.0,0.0,>=31,,1.0,
583,2012,584.0,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Married,1.0,2.0,52.0,8 years,Graduate deg,Male,White,Conserv,StrRep,"SAME ST, DIF CITY",YES,$150000 OR OVER,$150000 OR OVER,E. NOR. CENTRAL,90,Voted,McCain,About right,About right,Too little,Too little,About right,About right,Too little,About right,Too little,About right,Too much,Too little,Too little,Too little,About right,About right,Too little,About right,5.0,,,,,,,,,,,,,,,,,,,OPPOSE,,ABOUT RIGHT,NOT LEGAL,CATHOLIC,MODERATE,Every wk,SOMEWHAT STRONG,YES,ONCE A DAY,WORD OF GOD,STRONGLY OPPOSE PREF,AGREE STRONGLY,,,PRETTY HAPPY,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,HARDLY ANY,HARDLY ANY,A GREAT DEAL,HARDLY ANY,ONLY SOME,ONLY SOME,HARDLY ANY,A GREAT DEAL,4TH IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,3RD IMPORTANT,2ND IMPORTANT,SPOUSE BELONGS,,,,,,,,,MORE DIFFICULT,ALMST ALWAYS WRG,ALWAYS WRONG,,,ILLEGAL UNDER 18,DISAGREE,,EVERYDAY,1.0,AGREE,AGREE,DISAGREE,NO,NO,NO,YES,4,5.0,Agree both,4.0,,,,,,,,,,,NOT HISPANIC,,POLAND,,NONE,8.0,MARRIED COUPLE W CHILDREN,525,1960.0,SCORPIO,NOT HISPANIC,White,,,"YES, MONEY",20.0,73,50,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,1.0,2.0,6.0,,,1.0,5.0,Yes,Yes,Yes,,Coll+,13+ yrs,Yes,51-60,High,White,,,Less important,No,High,,Not strong,Oppose,Conserv,Liberal,Liberal,,,,High,8.0,White,1.0,-1.0,,Traditional,,,Less egal,No,Voted,Rep,No,0.8237962599014,Ev wk or more,Low,,Disapprove,41-60,0-1,High,Not illegal to all,Nonsouth,More difficult,52.0,,,0.0,>=31,Catholic,0.0,
584,2012,585.0,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Married,5.0,4.0,42.0,8 years,Graduate deg,Male,Other,SlghtLib,IndDem,DIFFERENT STATE,NO,$130000 TO $149999,$130000 TO $149999,E. NOR. CENTRAL,90,Did not vote,,,,,,,,,,,,,Too little,About right,Too little,About right,Too little,Too little,Too little,1.0,ALLOWED,NOT ALLOWED,NOT REMOVE,NOT ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,NOT ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed",Not allowed,Not remove,OPPOSE,FAVOR,TOO HARSH,LEGAL,MOSLEM/ISLAM,,Once/yr,NOT VERY STRONG,YES,LT ONCE A WEEK,WORD OF GOD,,,5.0,5.0,PRETTY HAPPY,HARDLY ANY,ONLY SOME,HARDLY ANY,A GREAT DEAL,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,A GREAT DEAL,4TH IMPORTANT,LEAST IMPORTANT,3RD IMPORTANT,2ND IMPORTANT,MOST IMPORTANT,NEITHER BELONGS,HARD WORK,YES,YES,YES,YES,YES,YES,YES,,,,ALWAYS WRONG,NOT WRONG AT ALL,ILLEGAL UNDER 18,,NO,,,,,,,,,,Agree both,3.0,Govt,3.0,Very interested,Not at all interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,Very interested,Moderately interested,NOT HISPANIC,Not a U.S. Citizen,OTHER ASIAN,Currently applying for U.S. citizenship,NONE,,"MARRIED COUPLE, NO CHILDREN",524,1970.0,AQUARIUS,NOT HISPANIC,White,,,"YES, MONEY",20.0,84,50,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,3.0,4.0,,7.0,6-7,3.0,,No,No,Yes,7.0,Coll+,13+ yrs,Yes,41-50,Low,White,Less close,Less close,Less important,,Low,No,Not strong,,Conserv,Liberal,Conserv,Yes,Yes,No,High,29.0,,,,15.0,,10.0,Middle,More egal,,Did not vote,Ind,No,0.8237962599014,Once/yr,MedHigh,MedLow,,41-60,,Low,Not illegal to all,Nonsouth,,42.0,1.0,100.0,100.0,>=31,,0.0,7.0
585,2012,586.0,WORKING FULL TIME,SOMEONE ELSE,PRIVATE,Divorced,1.0,3.0,45.0,5 years,Bachelor deg,Male,Black,Liberal,IndDem,"SAME ST, DIF CITY",YES,$150000 OR OVER,$150000 OR OVER,E. NOR. CENTRAL,90,Voted,Obama,About right,Too little,Too much,About right,About right,About right,About right,About right,Too much,Too much,About right,Too little,About right,Too little,About right,About right,Too little,Too little,2.0,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,NOT FIRED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,ALLOWED,ALLOWED,NOT REMOVE,"Yes, allowed","Yes, allowed",Not remove,FAVOR,OPPOSE,,LEGAL,CHRISTIAN,MODERATE,Once/mo,STRONG,YES,ONCE A DAY,INSPIRED WORD,,,8.0,7.0,PRETTY HAPPY,HARDLY ANY,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,HARDLY ANY,ONLY SOME,ONLY SOME,HARDLY ANY,ONLY SOME,A GREAT DEAL,HARDLY ANY,ONLY SOME,4TH IMPORTANT,LEAST IMPORTANT,MOST IMPORTANT,3RD IMPORTANT,2ND IMPORTANT,NEITHER BELONGS,LUCK OR HELP,YES,NO,YES,NO,YES,NO,NO,,,,ALMST ALWAYS WRG,ALMST ALWAYS WRG,ILLEGAL UNDER 18,,YES,,,,,,,,,,Agree both,3.0,4,2.0,Moderately interested,Not at all interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Moderately interested,NOT HISPANIC,,AFRICA,,NONE,,SINGLE PARENT,812,1967.0,AQUARIUS,NOT HISPANIC,White,,,"YES, MONEY",75.0,77,52,WHITE,IN-PERSON,FEMALE,6,0.8739876210001999,1.0,2.0,,3.0,3-5,1.0,,Yes,Yes,Yes,7.0,Coll+,13+ yrs,Yes,41-50,High,White,More close,More close,Less important,No,Moderate,No,Strong,,Conserv,Mod,Conserv,Yes,Yes,Yes,High,26.0,Black,,,13.0,,14.0,High,Middle,Yes,Voted,Ind,No,0.8739876210001999,Once/mnth,MedHigh,MedHigh,,41-60,,High,Not illegal to all,Nonsouth,,45.0,1.0,100.0,100.0,>=31,,0.0,7.0
586,2012,587.0,WORKING FULL TIME,SOMEONE ELSE,GOVERNMENT,Married,2.0,2.0,37.0,6 years,Graduate deg,Female,White,Liberal,StrDem,SAME CITY,YES,$150000 OR OVER,$75000 TO $89999,E. NOR. CENTRAL,90,Voted,Obama,Too much,Too little,Too little,Too little,About right,About right,Too little,About right,Too much,About right,About right,About right,Too little,Too little,About right,Too little,About right,Too little,2.0,,,,,,,,,,,,,,,,,,,OPPOSE,,ABOUT RIGHT,NOT LEGAL,NONE,LIBERAL,Never,NO RELIGION,YES,LT ONCE A WEEK,BOOK OF FABLES,OPPOSE PREF,DISAGREE SOMEWHAT,,,PRETTY HAPPY,HARDLY ANY,HARDLY ANY,HARDLY ANY,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,A GREAT DEAL,ONLY SOME,ONLY SOME,ONLY SOME,HARDLY ANY,ONLY SOME,LEAST IMPORTANT,4TH IMPORTANT,MOST IMPORTANT,2ND IMPORTANT,3RD IMPORTANT,R BELONGS,,,,,,,,,STAY SAME,NOT WRONG AT ALL,ALWAYS WRONG,,,ILLEGAL UNDER 18,STRONGLY DISAGREE,,FEW TIMES A WEEK,1.0,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NO,NO,YES,NO,2,2.0,Govt,3.0,,,,,,,,,,,NOT HISPANIC,,BELGIUM,,NONE,9.0,MARRIED COUPLE W CHILDREN,510,1975.0,LEO,NOT HISPANIC,White,,,"YES, MONEY",20.0,79,50,WHITE,IN-PERSON,FEMALE,2,0.8237962599014,3.0,3.0,3.0,,,0.0,9.0,No,No,No,,Coll+,13+ yrs,Yes,31-40,Low,White,,,Less important,No,Low,,Not strong,Oppose,Conserv,Liberal,Liberal,,,,High,31.0,White,0.0,0.0,,NonTrad,,,More egal,No,Voted,Dem,No,0.8237962599014,Never/<1yr,High,,Disapprove,18-40,0-1,Low,Not illegal to all,Nonsouth,Same/easier,37.0,,,0.0,>=31,,1.0,
